138,貝がら節まつり,かいがらぶしまつり,48247719,12786506,342
139,鹿野町立河内へき地保育園,ちょうりつこうちへきちほいくえん,48248073,12748946,1
140,隆建寺,りゅうけんじ,48247920,12766032,0
142,因州和紙,いんしゅうわし,48248021,12770370,550
144,気高町営浜村遊魚センター魚見,けたかちょうえいはまむらゆうぎょせんたーうおみ,48248329,12785821,0
149,河内川,こうちがわ,48249496,12745879,1
150,牛の舌祭り,うしのしたまつり,48249558,12785257,99
151,百手の神事,ももてのしんじ,48249551,12785248,646
152,JA鳥取いなば小鷲河,じぇいえーとっとりいなばこわしがわ,48250668,12758602,13
156,鳥取市立小鷲河幼稚園,とっとりしりつこわしかわようちえん,48251956,12760250,0
161,山王谷キャンプ場,さんのうだにきゃんぷじょう,48252582,12716874,0
162,ポプラ気高浜村店,ぽぷらけたかはまむらてん,48253296,12785078,2
167,山宮簡易郵便局,やまみやかんいゆうびんきょく,48254400,12771684,4
168,JA鳥取いなば逢坂,じぇいえーとっとりいなばあいさか,48254452,12771704,20
172,鳥取市立逢坂小学校,とっとりしりつおうさかしょうがっこう,48254782,12771969,6
173,山王谷,さんのうだに,48254850,12721821,0
179,介護老人福祉施設気高あすなろ,かいごろうじんふくししせつけたかあすなろ,48255559,12782646,0
181,鳥取市立浜村保育園,とっとりぢりつはまむらほいくえん,48256374,12782491,0
186,佐治川ダム,さじがわだむ,48256560,12717396,1
187,慶寿院,けいじゅいん,48256606,12777879,0
188,鳥取市立浜村小学校,とっとりしりつはまむらしょうがっこう,48256600,12782613,0
189,鷲峰山,じゅうぼうやま,48256892,12750711,40
190,鳥取市立浜村幼稚園,とっとりしりつはまむらようちえん,48256353,12782491,0
193,佐治谷青少年旅行村,さじたにせいしょうねんりょこうむら,48257068,12717656,0
194,JA鳥取いなば気高支店,じぇいえーとっとりいなばけたかしてん,48257330,12781636,0
198,安蔵森林公園,あぞうしんりんこうえん,48257404,12743682,4090
199,ホームセンタージュンテンドー浜村店,ほーむせんたーじゅんてんどーはまむらてん,48257468,12783913,1
200,浜村警察署,はまむらせいさつしょ,48257508,12784645,16
